verse	content
001	Si Abraham naghalin sa Mamre kag nagsaylo sa nabagatnan nga bahin sang Canaan, kag nag-estar sa gintung-an sang Kades kag Sur.
001	Sang ulihi sang nagaestar sila sa Gerar,
002	nagsiling sia nga si Sara nga iya asawa utod niya.
002	Gani si Abimelec nga hari sang Gerar nagsugo nga dalhon si Sara sa iya.
003	Isa ka gab-i ang Dios nagpakita kay Abimelec sa damgo nga nagasiling, Mapatay ka, tungod kay ginkuha mo ini nga babayi nga may bana na.
004	Pero si Abimelec wala pa makatandog kay Sara, gani nagsiling sia, Ginoo, wala ako sing sala!
004	Patyon mo bala ako kag ang akon mga tinawo?
005	Si Abraham gid nagsiling nga utod niya si Sara kag si Sara man nagsiling nga utod niya si Abraham.
005	Ginhimo ko ini nga may matinlo nga konsensya, kag wala ako makasala.
006	Ang Dios nagsabat paagi sa iya damgo, Huo, nakahibalo ako nga may matinlo ka nga konsensya, gani wala ko ikaw pagtugoti sa pagtandog sa iya agod indi ka makapakasala batok sa akon.
007	Pero karon, iuli ang babayi sa iya bana.
007	Isa ka propeta ang iya bana kag magapangamuyo sia para sa imo agod indi ka mapatay.
007	Pero kon indi mo sia pag-iuli, ginapaandaman ko ikaw nga mapatay ka, ikaw kag ang tanan mo nga mga tinawo.
008	Aga pa gid sang madason nga adlaw, ginpatawag ni Abimelec ang tanan niya nga mga opisyales kag ginsugiran niya sila sang mga nagkalatabo, kag hinadlukan gid sila.
009	Dayon gintawag ni Abimelec si Abraham kag ginpamangkot, Ano ining ginhimo mo sa amon?
009	Ano ang sala nga nahimo ko sa imo nga gindalhan mo ako kag ang akon ginharian sini nga kalalat-an?
009	Wala sing bisan sin-o nga dapat maghimo sining imo ginhimo sa akon.
010	Ngaa bala ginhimo mo ini?
011	Si Abraham nagsabat, Naghunahuna ako nga wala gid sing bisan isa diri nga nagakahadlok sa Dios, gani nga pagapatyon nila ako agod makuha nila ang akon asawa.
012	Sa pagkamatuod utod ko sia nga babayi.
012	Anak sia sang akon amay, pero indi sang akon iloy, kag ginpangasawa ko sia.
013	Gani sang ginpalakat ako sang Dios halin sa balay sang akon amay sa pagkadto sa iban nga mga duta, nagsiling ako sa iya, Mapakita mo ang imo pag-unong sa akon paagi sa pagsiling mo bisan diin kita magkadto nga utod mo ako.
014	Dayon gin-uli ni Abimelec si Sara kay Abraham, kag ginhatagan man niya si Abraham sing mga karnero, mga baka, kag mga ulipon.
015	Nagsiling sia kay Abraham, Amo ini ang akon bug-os nga kadutaan, mag-estar ka bisan diin nga luyag mo.
016	Nagsiling sia kay Sara, Hatagan ko ang imo utod sing 1,000 ka bilog nga pilak sa pagpamatuod sa mga upod ninyo nga wala kamo sing sala.
016	Ang tanan makahibalo nga wala kamo makahimo sing sala.
017	Tungod sang natabo kay Sara nga asawa ni Abraham, ginbuot sang Ginoo nga indi na makapamata ang tanan nga mga babayi sa panimalay ni Abimelec.
017	Gani si Abraham nagpangamuyo para kay Abimelec kag gin-ayo sia sang Dios.
017	Gin-ayo man sang Dios ang asawa ni Abimelec kag ang iya mga ulipon nga babayi, agod nga makapamata sila.
