verse	content
001	Pagubus nagnashat na isab hi sa ha manga mulid niya sin subay sila taptap iban di sumuhun mangarap pa Tuhan.
001	Diyalil niya kaagi in pagnashat niya.
002	Laung hi sa, Awn yaun hambuuk huwis ha hambuuk dira in di mabuga ha Tuhan iban wayruun tau pagaddatan niya.
003	Sakali awn isab hambuuk balu duun ha dira yaun in daran magkawn pa huwis magmuhut-muhut mangayu tabang bat niya makawa in kapatutan niya.
003	Laung niya, Tabanga aku sin parakala ku iban sin kuntara ku!
004	Na, in tagna di tuud mabaya tumabang in huwis, sagawa maglulugay, namikil-mikil siya, laung niya ha lawm atay niya, Minsan aku di mabuga ha Tuhan iban wayruun tau pagaddatan ku,
005	pagga in balu ini daran manghilu mari kku pasal sin parakala niya, marayaw ku pa siya tabangun sin kapatutan niya.
005	Sabab bang ku siya di tabangun, di siya humundung magkari kku.
005	Na, di lumugay aku in matay sin hapus!
006	Na, laung pa isab hi sa, Na, pikila niyu in bichara sin huwis mang yadtu.
007	Bang in huwis mang maingat tumabang ha tau di niya pagaddatan, na amu pa ka isab in Tuhan in di dumihil sin kapatutan sin manga tau suku niya amu in mangayu tabang kaniya dm-adlaw?
007	Tantu, di niya palugayun in pagtabang niya.
008	Na, ingat kamu, saruun-duun tabangun sin Tuhan in manga tau suku niya sin kapatutan nila.
008	Sagawa in aku amu in Anak Mnusiya, bang magbalik na mari pa dunya hangkatiyu da in tau karatungan ku amu in di mapinda in kusug sin pangandul pa Tuhan.
009	Nagnashat da isab hi sa ha manga tau, amu in magbantug sadja sin kabuntulan nila iban mamaba-maba sadja ha kaibanan nila.
009	Diyalil niya kaagi in pagnashat niya.
010	Laung hi sa kanila, Bakas awn duwa tau timukad pa By sin Tuhan nangarap pa Tuhan.
010	In hambuuk tau Parisi, ampa in hangka-tau mangangawa sukay pa parinta.
011	Pagsd nila pa lawm By sin Tuhan, timindug nagpakandi isa-isa niya in tau Parisi ampa nangarap pa Tuhan nagbantug sin baran niya, laung niya, Ya Tuhan, magsarang-sukul tuud aku sin bukun aku manapsu, pangakkal iban maghinang sin di mapatut ha babai bukun asawa ku.
011	Bukun aku biya sin manga tau katn.
011	Magsarang-sukul tuud aku sin bukun aku biya sin tau mangangawa sukay pa parinta yaun.
012	Magpuasa aku duwa adlaw ha lawm sin hangka-pitu iban pagjakatan ku katn in alta ku.
013	Sumagawa in tau mangangawa sukay pa parinta duun timitindug ha kalayuan iban di niya minsan hikahangad pa taas in bayhu niya.
013	Nagdukduk siya sin daghal niya sabab landu tuud in kasusahan niya.
013	Laung niya, Ya Tuhan, kaluuyi aku hambuuk baldusa!
014	Na, ingat kamu, laung hi sa, in tau mangangawa sukay muwi iban kaampunan dayn ha Tuhan.
014	Itungun biya sin tau wala nakarusa.
014	Sagawa wala in Tuhan kiyaamuhan ha tau Parisi.
