verse	content
001	Inapod ni Jacob an saiyang mga aki dangan sinabihan, Madya kamo sa palibot ko, asin sasabihon ko an mangyayari sa saindo sa maabot na aldaw
002	Madya kamo asin paghimate, mga aki ni Jacob.
003	Dangoga nindo an saindong amang si Israel.
004	Ika Ruben, an sakong matua, an sakong kosog,
005	An enot na bunga kan sakong pagkalalaki,
006	Pinakamapaabaw-abaw asin pinakamakosog sa gabos kong aki.
007	Garo ka sarong anggot na baha,
008	Alagad bakong ika an pinakamahalaga,
009	Huli ta dinorogan mo an sakong kasaroan
010	Asin dinigtaan mo an higdaan kan saimong ama.
011	Magtugang si Simeon asin si Levi.
012	Ginamit ninda an saindang armas sa paggibo nin kadahasan.
013	Dai ako masabay sa saindang mga sekretong orolay,
014	Dai man ako maiba sa saindang pagtiripon,
015	Huli ta sa kaanggotan, nanggadan sinda nin tawo
016	Asin sa kakalwagan, pinilayan ninda an mga toro.
017	Sumpaon logod an saindang kaanggotan, huli ta grabe nin marahay,
018	Asin an saindang labi-labing kaanggotan, huli ta sobra an kakurihan.
019	Iwawarak ko sinda sa bilog na daga nin Israel,
020	Sa kaibahan kan mga tawo na nag-eerok diyan.
021	Juda, oomawon ka kan saimong mga tugang.
022	Kakapotan mo sa liog an saimong mga kaiwal.
023	Maduko kan saindang payo an saimong mga tugang.
024	Si Juda arog sa sarong leon,
025	Ginagadan niya an saiyang biktima dangan minapuli sa saiyang lungib,
026	Minaunat kan saiyang lawas asin minahigda.
027	Mayong nangangahas na magpukaw saiya.
028	Dai mahahale an setro ki Juda,
029	Asin sa mga kapagarakian niya,
030	Sagkod na umabot an kagsadiri kaiyan
031	Asin sa saiya makuyog an mga banwaan.
032	An ogbon nin saiyang asno iginagakod niya sa poon nin ubas,
033	Sa pinakamarahay na poon nin ubas.
034	Linalabahan niya an saiyang gubing sa arak, an saiyang bado sa dugo nin ubas.
035	Mapupula an saiyang mga mata sa arak na ininom,
036	Maputi an saiyang mga ngipon sa gatas na ininom.
037	Maerok sa tampi kan dagat si Zabulon,
038	Mga barko sa saiyang baybayon madoong.
039	An saiyang teritoryo makakaabot sa Sidon.
040	Si Issakar sarong sutil na asno
041	Na minaunat sa irarom kan saiyang kamadero.
042	Kan mahiling niya na marahay an pahingaloan
043	Asin na nakakawili an daga,
044	Tinios niya an magabat na pasan,
045	Asin nagtrabaho bilang oripon.
046	Si Dan an maghuhukom kan saiyang banwaan
047	Bilang saro sa mga tribu nin Israel.
048	Siya sarong halas sa gilid kan dalan,
049	Sarong makamandag na halas sa may agihan,
050	Na minakagat kan bool kan kabayo,
051	Tanganing mahulog an lunad kaiyan.
052	O Kagurangnan , halat ko an saimong kaligtasan.
053	Sasalakayon si Gad kan grupo nin mga tulisan,
054	Alagad mabirik siya asin lalamagon sinda.
055	An daga ni Aser matao nin pagkakan.
056	Siya an matao nin pagkakan na maninigo sa hade.
057	Sarong usa si Neftali, na talingkas na nagdadalagan,
058	Na nagtatao nin magagayon na ogbon.
059	Sarong mabinungang sanga si Jose,
060	Sarong mabinungang sanga sa may burabod.
061	Mangirhat siyang sinasalakay kan saiyang mga kaiwal
062	Asin linalamag siya ninda kan saindang mga pana.
063	Alagad nagin masarig an saiyang pana;
064	Pinakosog an saiyang braso
065	Kan kapangyarihan kan Makakamhan na Dios ni Jacob,
066	Kan Pastor, an Gapo nin Israel.
067	An Dios nin saimong ama iyo an nagtatabang saimo
068	An Makakamhan na Dios an nagbebendisyon saimo;
069	Mga bendisyon nin uran hale sa itaas,
070	Asin nin katubigan sa irarom nin daga,
071	Bendisyon nin mga hayop saka nin mga aki.
072	An mga bendisyon kan saimong ama orog pa ki sa bendisyon
073	Na inako kan saiyang mga magurang,
074	Orog pa ki sa mga biyaya kan daing tapos na kabubuldan.
075	Ining mga bendisyon mamugtak logod sa payo ni Jose,
076	Sa angog kan pinalaen sa saiyang mga tugang.
077	Arog sa sarong gutom na lobo si Benjamin,
078	Na aldaw-banggi daing ontok sa paggadan asin sa pagkakan.
079	Iyo ini an doseng tribu nin Israel, asin iyo ini an sinabi kan saindang ama kan bendisyonan niya sinda; benendisyonan ni Israel an lambang saro sainda kan maninigong bendisyon.
080	Dangan pinagbotan ni Jacob an saiyang mga aki, Magagadan na ako; ilubong nindo ako sa kaibahan nin sakong mga ginikanan, duman sa lungib na nasa oma ni Efron na Heteo,
081	sa Makpela, sa sirangan kan Mamre, sa daga nin Canaan.
081	Binakal ni Abraham an lungib asin oma na ini ki Efron tanganing paglubongan.
082	Iyo ini an lugar na pinaglubongan ninda ki Abraham sagkod ki Sara na saiyang agom; duman man ilinubong si Isaac saka si Rebecca na saiyang agom; asin duman ko ilinubong si Lea.
083	An oma saka an lungib na yaon duman binakal sa mga Heteo.
083	Duman nindo ako ilubong.
084	Pakasabi ni Jacob kaini gabos, naghigda siya giraray asin nagadan.
