verse	content
001	Mangay sira do katovangan no rako a meybebneng a ranom a meyngaran so Cyadidi.
001	Do dang rana am ili da no tao do Kelasen.
002	Kapakaranes ni Yeso do pamsan na am makasazi so tao apo do kanitwan.
002	O tao rana am kovotan no kalamsoyan ni Satan.
003	Amyamyan ori do kanitwan.
003	Abo makataid do tao ang.
003	Tana vaoden da no vahalang am ji da vaod.
004	Ta to na zavazavata o ivaod da sya.
004	So ikabo no tao a makavaod sya.
005	Mangday so araw o kalololos na do kanitwan a kado taketakey a kapangap na so vato a izaza na so kataotao na.
006	Macita na si Yeso do marai pa am malalayo a mangay a kapeylilitod na do tangain ni Yeso,
007	a kalolos na.
007	Maniring am, Ikongo mo gogadan nyaken, mo Yeso a Anak no ney manokdwan na Tao do to.
007	Ko ipanci do Tao do to o kaji mo pasingsingtan jyaken.
008	O pancyan na no nang am nipanci na ni Yeso o kapakowbot na rana no kalamsoyan ni Satan do kataotao na.
009	Maniring si Yeso am, Sino ngaran mo.
009	Maniring am, O ngaran ko am Si Malavong, ta namen malavong.
010	To mapasyasi ji Yeso a manci no kaji na vozwawan sira do dang.
011	No kanang am amyan do tokon so aro a kois a meykoskos.
012	Maniring o aro a kalamsoyan ni Satan a mapasyasi ji Yeso am, To mo rana novoya yamen do aro a kois ang a kangay namen a komovot jira.
013	Makarahan am apyahen na sira ni Yeso.
013	Am ori o nipakowbot da na do kataotao na no tao ang a kangay da komovot do aro a kois.
013	Ala adwa zivo 2000 o kois a nikomsoz do alalasyas a kangay da mehmes do rako a meybebneng a ranom a kamimin da mawakwak.
014	Mina tongsoz rana o tomita so kois a tao kangay da na do ili a meylimwang no akman sang a vazay.
014	Mamizing da no aro a tao am meypakokowbot sira tomita so vazay ang.
015	Makaranes sira ji Yeso am macita da o nikovotan no aro a kalamsoyan ni Satan a amlisna do dang a apiya rana so ayob a makownong rana do nakenakem na.
015	Am ori o nikarahet da so onowned a to rana nyahey, ta tey arako oyowyat ni Yeso.
016	O nimakacita so nikovotan a tao a kano nikomsoz a kois am ononongan da rana do aro a tao o panpandan na.
017	Am ori o nipancyan da rana ni Yeso a komaro do dang.
018	Zomagpit do vazangay si Yeso am mangay mapasyasi ji Yeso o nikovotan a tao a manci no kapehza na sya.
019	Am ji na mya ni Yeso.
019	Maniring jya am, Angay rana do vahay nyo a kapanci mo nya do zipozipos nyo so na mina vazay jimo ni Ama ta do to a yamarilaw nimo.
020	Mangay rana o tao ori am ipeylimwang na rana o ngaran ni Yeso do ngaranan da Meykasa ngarnan a ili, do kanimvozwaw na rana so kalamsoyan ni Satan do kataotao na.
020	O makamizing sya aro a tao am isavasavak da o akman sang a vazay ni Yeso.
021	Somakay si Yeso do vazangay am mangay do katovangan no rako a meybebneng a ranom.
021	Makaranes am meylovolovot o aro a tao do tangain na.
022	Amyan do dang so asa ka meymatmatngeh no peyneynozyan a meyngaran so Yalo a nimacizavoz do aro a tao.
022	Macita na si Yeso am mangay meylilitod do tangain ni Yeso a mapasyasi jya.
023	Maniring am, Yatey makdeng o ingingnen no anak ko a mavakes.
023	Mangay mo pa parapongen o lima mo jya keywakwak mo jya kapya na rana.
024	Makarahan am macihza si Yeso jya mangay.
024	Aro tao a meysilisilin a macihza jya.
025	Amyan do dang so asa ka mavakes a makadwa so icyarwa 12 so awawan a to makaliliw so kataotao na gomcin no rala.
026	Nipasowsow na o kangangay na do pangavavawan am ji na apyan no ingingnen na, ta ipeypeyparahet na.
027	Mamizing na o vazay ni Yeso am ori o nipacislin na do aro a tao a kangay na do likod ni Yeso a minan do talili na.
028	O nakenakem na am, No si pinanan ko o ayob na am jya todapya rana o kataotao ko a.
029	Makarahan am mina todapya rana o kataotao na do pakaliliwan na sya.
030	Am to na rana tenngi ni Yeso o oyowyat a makowbot do kataotao na.
030	Am ori o nipaolyan na so mata na do aro a tao.
030	Maniring am, Sino yaminan do ayob ko ang.
031	Maniring sira o macinanao jya am, Mo panangangayan nya.
031	Mo jyacita o aro a tao a meysilisilin a mangay jimo?
031	Mo kapanahes no niminan jimo.
032	Am ori o nicittan na so sirisiri na.
032	Cittan na so tao a niminan jya.
033	Katenngan na rana no mavakes o kapya na rana no kataotao na am to rana zikzik a manyahey.
033	Am ori o nipeylilitod na do tangain ni Yeso a manci no kaniminan na jya.
034	Maniring jya si Yeso am, Manganako, ka manoyong a yameyhanhan nyaken.
034	Makapiya ka so onowned a mangay rana, ta yarana apya o ingingnen mo.
035	Ji pa vitos o ciring ni Yeso am mai o tao apo do vahay ni Yalo.
035	Maniring sira ji Yalo am, Ji mo na mancyan si Yeso, ta yarana nimawakwak o anak mo.
036	Am ji na ngazidan ni Yeso o ciring da.
036	Maniring rana si Yeso do meymatmatngeh no peyneynozyan am, Ji ka nyahey.
036	Anoyngan mo yaken.
037	Makarahan am palolwen na si Pite a kani Yake a kano kakteh na ni Yake a meyngaran so Yowani a mangay.
037	Am ji na mya ni Yeso o tarek a tao a macihza jya.
038	Makaranes sira do vahay no meymatmatngeh no peyneynozyan am macita na sira o aro a tao a meykabakabayo a omlavi jya.
039	Somdep si Yeso am maniring jira am, Ji kamo lavi, ta yamitkeh.
039	Nimakongo kwan nyo.
040	Mamizing da o ciring ni Yeso am no mangay o kaming da am mangay o kapeyoyaoya da.
040	Makarahan am powboten na sira ni Yeso o aro a tao.
040	O inyapwan na kano tatlo a macinanao jya o amyan do sahad na.
041	Makarahan am ahapen na o lima no kanakan.
041	Maniring jya am, Tadita komi.
041	O peypeypangayan na no nang am, Ko ipanci imo a meyvangon, manganako.
042	Makarahan am meyvangon rana o kanakan a kalam na rana.
042	No kano nang am adwa o ikasikarwa na no kakawakawan na no kanakan ang.
042	So nipeyzokaban da no vazay ang no inyapwan na.
043	Maniring jira si Yeso am, Ji nyo meyvehvehyan do tao o akman sang a vazay, kapanci na rana nira a mantan nya so kanen na.
