verse	content
001	Nagpadayon pa gid si Jesus sa pagpanudlo kananda, Mag-andam kamo sa inyo pagkarelihiyoso nga bukun ti pakita-kita lang sa mga tawo.
001	Tungud hay kon nagapakita-kita lang kamo, wara gid kamo ti padya nga mabaton halin sa inyo Amay sa langit.
002	Gani, kon nagatugro kamo kang limos, indi ninyo dya pagpanugid-sugid sa bisan kay sin-o, pareho kang ginahimo kang mga hipokrito sa mga sinagoga kag sa mga dalan agud makita kang mga tawo ang andang ginahimo para dayawun sanda.
002	Pero sa pagkamatuod lang tana, ginakuon ko kaninyo nga nabaton nanda run ang andang padya.
003	Pero kamo tana, kon nagatugro kamo kang limos, indi ninyo gid pagpamaan bisan sa pinakasuud ninyo nga amigo,
004	agud to wara ti may makamaan kang inyong ginahimo.
004	Kag ang inyo Amay nga nakakita kang inyo ginahimo sa sikrito amo ang magapadya kaninyo.
005	Kag kon magpangamuyo gani kamo, indi kamo magsunod sa mga ginahimo kang mga tawo nga hipokrito.
005	Tungud hay kon magpangamuyo sanda gusto gid nanda magtindug sa mga sinagoga kag sa mga pamusod kang karsada agud to nga makita sanda kang mga tawo.
005	Pero sa pagkamatuod lang tana, ginakuon ko kaninyo nga nabaton nanda run ang andang padya.
006	Pero kon magpangamuyo gani kamo, magsulud kamo sa inyo kwarto kag magpanirado.
006	Rugto kamo magpangamuyo sa inyo Amay nga indi makita.
006	Kag pagapadyaan kamo kang inyo Amay sa langit nga nakakita kang inyo ginahimo sa sikrito.
007	Kag kon nagapangamuyo kamo, indi kamo magsagad liwan-liwan kang mga tinaga nga wara lang man ti pulos, pareho kang ginahimo kang mga tawo nga wara nakakilala sa Dios.
007	Amo ria ang andang ginahimo tungud hay nagapinsar sanda nga pamatian sanda tungud hay lawid ang andang pangamuyo.
008	Gani indi ninyo pagsunda ang andang ginahimo hay naman-an run kang inyo Amay ang inyo nga mga kinahanglanun sa wara pa kamo makapangayo kana.
009	Kon magpangamuyo gani kamo, amo dyaay
010	Amay namun nga rugyan sa langit,
011	kabay nga pakabalaanun ang imo Ngaran,
012	kabay nga mag-abot run ang tion kang imo paghari,
013	kabay nga matuman ang imong pagbuut rugya sa lupa pareho nga ginatuman rugyan sa langit.
014	Tugroi kami kang pagkaun nga amun kinahanglan sa kadya nga adlaw.
015	Patawara kami kang amun mga sala, pareho nga ginapatawad namun ang mga nakasala kanamun.
016	Kag indi nimo pag-itugot nga madaug kami kang mga pagsulay,
017	kundi luwasun mo kami sa Malaot.
017	Ikaw gid lang ang Hari sa tanan, ikaw ang pinakagamhanan, kag kanimo ang tanan nga kahimayaan hasta sa wara ti katapusan.
017	Amen.
018	Kinahanglan gid man nga patawarun ninyo ang mga nakasala kaninyo, tungud hay kon patawarun ninyo pagapatawarun man kamo kang inyo Amay nga rugto sa langit.
019	Pero kon wara ninyo ginapatawad ang iba sa andang mga sala, indi man kamo pagpatawarun kang inyo Amay.
020	Nagkuon pa gid si Jesus, Kon nagapuasa gani kamo, indi ninyo pagpasubua ang inyong itsora pareho kang ginahimo kang mga hipokrito.
020	Nagalagaw sanda nga wara nakapanghilam-os kag wara nakapanghusay agud to nga maman-an kang tanan nga nagapuasa sanda.
020	Sa pagkamatuod lang tana, ginakuon ko kaninyo nga nabaton nanda run ang andang padya.
021	Pero kon magpuasa gani ikaw, magpanghilam-os ikaw kag magpanghusay,
022	agud to nga wara ti may makamaan nga nagapuasa ikaw, luwas lang sa imo Amay nga indi makita.
022	Kag tana nga nakakita kang imo nga ginahimo sa sikrito, amo ang magapadya kanimo.
023	Indi kamo magsuput kang manggad para sa inyo kaugalingun rugya sa kalibutan, nga sa diin ranggaun lang man kang mga tanak kag kang tuktuk, ukon sudlun kang takawan ang inyo balay kag takawun dya.
024	Sa baylo, magsuput kamo kang manggad rugto sa langit, nga amo ang inyo nga mayad nga buhat, hay rugto sa langit wara ti tanak kag tuktuk nga magarangga karia, kag wara ti takawan nga makasulud para magpanakaw.
025	Tungud hay kon sa diin ang inyo manggad rugto man ang inyo panghuna-huna.
026	Ang mata amo ang sulo kang lawas.
026	Gani kon masanag ang imo panuruk, masanagan man ang bug-os nimo nga lawas.
027	Pero kon dulum ang imo panuruk, madulman man ang bug-os nimo nga lawas.
027	Gani kon ang kasanag nga rugyan kanimo dulum gali, daw ano ayhan kadulum ang imo kahimtangan!
028	Wara ti tawo nga makaalagad kang dungan sa darwa ka agalun, hay ang matabo karia kaugtan na ang isara kag palanggaun na ang isara, ukon alagadun na kang husto ang isara kag ang isara tana tamayun na.
028	Indi ninyo maalagad kang dungan ang Dios kag ang manggad.
029	Amo gani nga nagakuon ako kaninyo nga indi kamo magsagad ka palibug sa inyo pagpangabuhi; kon ano ang inyo ikan-un ukon imnun kag kon ano ang inyo isuksok para sa inyo lawas.
029	Indi bala nga mas importante ang kabuhi sangsa pagkaun, kag ang lawas sangsa bayo?
030	Turuka bala ninyo ang mga pispis nga nagalupad-lupad.
030	Wara sanda nagatanum kag wara man sanda nagaani, kag wara man sanda nagasuput sa kamarin, pero ang inyo Amay sa langit nagapakaun kananda.
030	Indi bala nga mas importante pa kamo sangsa mga pispis?
031	Sin-o haw kaninyo ang makadugang kang anang kabuhi kang bisan gamay lang paagi sa anang pagpalibug?
032	Kag andut abi nga nagapalibug pa kamo sa inyo suruksukon?
032	Turuka bala ninyo kon paano nagatubo ang mga bulak sa latagun.
032	Wara sanda nagapangabudlay ukon nagahimo kang andang bayo.
033	Pero ginakuon ko kaninyo, bisan pa si Solomon nga bantog kag tama ka manggaranun nga hari, wara gid makabayo kang pareho kang katahum kang bisan isara lang sa mga bulak nga dya.
034	Kon ginapatahum kang Dios ang mga hilamon nga rugyan sa latagun nga buhi kadya kag sa sunod nga mga adlaw idap-ong lang man sa darapogan, kamo pa ayhan ang indi na pagpabayoan?
034	Mga gamay kamo ti pagtuo!
