verse	content
001	Manjari, pagga pagkukunisahun dakuman in Haylaya Paglappas dayn ha Kamatay iban sin pakaradjaan pagtawagun, Pagkaun sin Tinapay Way Pasulig, nagisun in manga nakura kaimaman iban sin manga guru sin sara agama, bang biya diin in kasaggaw nila kan sa ha di kaingatan sin manga tau.
001	In kabayaan nila hipapatay hi sa.
002	Laung nila, Subay natu siya di saggawun ha sabu sin paghaylaya sabab gana-gana maghiluhala in manga tau.
003	Sakali in hi sa didtu ha kawman Bitani, ha by hi Simun amu in tau bakas ipul.
003	Ha sabu niya nagkakaun, awn miyawn hambuuk babai nagdar kibut-kibut haba liug pagtawagun alabistrus, hipu sin lana mahamut pagtawagun narda.
003	In lana mahamut ini maharga tuud, bukun paltik iban wayruun lamud niya dugaing.
003	Biyagbag sin babai in liug sin kibut-kibut ampa niya biyusug in lana mahamut pa hi sa.
004	Na, diyugalan in manga kaibanan tau nakakita iban laung sin pakaniya-pakaniya, Mayta niya iyusibaan in lana mahamut?
005	Bang yan piyagdagang magbhan timbang gadji sin hambuuk tau ha lawm hangka-tahun, iban labi pa, iban in bhan hikapagsarakka ha miskin.
005	Na, iyastulan tuud sila ha babai.
005	Siyahawi nila siya pa mang.
006	Sagawa laung hi sa kanila, Pasri niyu na siya!
006	Ayaw niyu pasusaha in atay niya.
006	Marayaw tuud in nahinang niya kku.
007	In manga miskin matabang niyu sadja ha kunu-kunu waktu kabayaan niyu, sabab hawnu-hawnu kamu yan da isab in manga miskin.
007	Sagawa in aku ini di lumugay d kaniyu.
008	Hnang sin babai ini in mahinang niya kku.
008	Biyusugan niya aku lana mahamut bat supaya saddiya na in anggawta-baran ku ha adlaw pagkubul kku.
009	Na, ini in mattan hibayta ku kaniyu!
009	Hawnu-hawnu na mayan d ha katilibut dunya hipamahalayak in Bayta Marayaw, hikasuysuy in nahinang kku sin babai ini ganti panumtuman kaniya.
010	Manjari, awn hambuuk dayn ha hangpu tagduwa mulid hi sa, amu in pagngnan Judas, tau dayn ha Kiriyud, in miyadtu pa manga nakura kaimaman ha supaya niya hikaungsud hi sa pa lawm lima nila.
011	Na, kiygan tuud in manga nakura kaimaman pagdungug nila sin bayta hi Judas iban jimanji sila dihilan nila hi Judas sn.
011	Hangkan, simipi na hi Judas bang biya diin in katipu niya kan sa.
012	Manjari, ha adlaw panagnaan sin pakaradjaan pagtawagun Pagkaun sin Tinapay Way Pasulig, amu in adlaw pagsumbay sin manga anak bili-bili pagjamuhan ha Haylaya Paglappas dayn ha Kamatay, iyasubu hi sa sin manga mulid niya, laung nila, Tuwan, hariin mu kabayaan sakapun namu in pagjamuhan taniyu?
013	Na, diyaak hi sa in duwa mulid niya, laung niya kanila, Kadtu kamu pa dira.
013	Pagdatung niyu madtu, hipagbk niyu in tau nagdar kibut tagaluun tubig.
013	Urula niyu siya
014	iban sd kamu pa by sran niya.
014	Pagubus ampa niyu baytai in tagdapu by, laung niyu, Nagpaasubu in Tuwan Guru bang hawnu in bilik pagjamuhan niya iban sin manga mulid niya hipagsabu sin Haylaya Paglappas dayn ha Kamatay!
015	Na, hipakita niya kaniyu in bilik dakula ha taas sin by niya, amu in asal panyap sin katn kagunahan natu.
015	Duun niyu saddiyaha in pagjamuhan natu.
016	Na, miyadtu na pa dira in duwa mulid hi sa.
016	Pagdatung nila pa dira, in katn biyayta hi sa naagad.
016	Na, siyaddiya nila na in pagjamuhan nila.
017	Na, naabut mayan magrib, dimatung na hi sa iban sin hangpu tagduwa mulid pa pagjamuhan.
018	Ha sabu nila nagjajamu duun ha lamisahan, namung hi sa, laung niya, Ini in mattan hibayta ku kaniyu.
018	Awn hambuuk d kaniyu in manipu kku, amu in simasw kku nagkaun.
019	Na, nasusa in manga mulid hi sa iban nangasubu na in pakaniya-pakaniya, amu agi, Uy, tantu, Tuwan, bukun aku in piyagiyan mu?
020	In sambung hi sa, Hambuuk dayn ha hangpu tagduwa mulid ku in manipu kku, amu in simasw kku timublak sin tinapay niya pa ly pagbabahug-bahugan.
021	In aku amu in Anak Mnusiya manaykud na dayn ha dunya biya na sin asal kiyabayta ha lawm Kitab.
021	Sagawa murka dakula in kumugdan ha tau manipu kku.
021	Marayaw pa sa wala na siya piyaganak.
022	Ha sabu nila nagkakaun, kimawa hi sa tinapay ampa siya nagsarang-sukul pa Tuhan.
022	Ubus ampa niya spak in tinapay ampa diyuhal pa manga mulid niya.
022	Laung niya, Kawaa ampa niyu kauna in tinapay ini iban niyat sin amu yan in ginhawa-baran ku.
023	Pagubus ampa kiyawa hi sa in hambuuk sawan, ampa siya nagsarang-sukul pa Tuhan.
023	Pagubus ampa niya diyuhal in sawan pa manga mulid niya.
023	Na, mnum in manga mulid niya katn.
024	Laung hi sa kanila, Niyata niyu sin amu yan in dugu ku, amu in dumihil kamakbulan ha janji bagu sin Tuhan ha manga tau suku niya.
024	Maasag in dugu ku sabab-karna sin manga tau mataud.
025	Na, ini in mattan hibayta ku kaniyu.
025	Di aku minum magbalik sin tubig anggul ini ha salugay di dumatung in waktu magmakbul na in maksud sin pamarinta sin Tuhan, lgi mabagu na in unu-unu katn.
