verse	content
001	Manjari nakalabay mayan unum adlaw dayn ha adlaw yadtu diy hi sa timukad hi Pitrus iban sin duwa magtaymanghud, hi Yakub kay Yahiya, madtu pa bd mataas.
001	Sila-sila da in miyadtu.
002	Didtu mayan sila ha taas bd, pagkita nila magty napinda in lupa hi sa.
002	In bayhu niya similak biya sin mata suga, iban makasilaw in puti sin tamungun niya.
003	Pagubus, kta sin t mulid ini in duwa nabi amu in malugay na nanaykud dayn ha dunya hi Musa kay Ilyas nagbibichara iban hi sa.
004	Na, magty namung hi Pitrus kan sa, laung niya, Panghu, marayaw tuud isab sin yari kami d!
004	Bang kaw mabaya hinangan ta kamu t panggung paghantian niyu.
004	In hambuuk kaymu, hambuuk kan Musa, iban in hambuuk kan Ilyas.
005	Ha sabu hi Pitrus namimichara kan sa magty sila kiyalambungan sin gabun masawa tuud sarta awn na suwara diyungug nila dayn ha lawm gabun.
005	Amu agi sin suwara, Amu na ini in Anak ku kalasahan ku.
005	Siya in makasulut tuud kku.
005	Dungug kamu sin hindu niya.
006	Pagdungug sin manga mulid sin suwara, landu tuud sila miyuga.
006	Magty sila simujud pa lupa.
007	Sakali miyawn hi sa pa manga mulid niya ampa niya sila kiyaputan.
007	Laung niya, Tindug kamu, ayaw kamu mabuga.
008	Pagtunga nila wayruun tau dugaing kta nila luwal da hi sa.
009	Na, pagld nila dayn ha taas bd, but-ibutan hi sa in manga mulid niya, laung niya, Ayaw kamu magbayta minsan hisiyu pasal sin kta niyu didtu ha taas bd.
009	Subay na aku, amu in Anak Mnusiya mabuhi magbalik dayn ha kamatay ampa kamu makabayta.
010	Sakali iyasubu hi sa sin manga mulid niya, laung nila, Tuwan, mayta in bayta sin manga guru sin sara agama lumahil naa muna mari hi Ilyas ampa in Almasi?
011	Simambag hi sa, laung niya, Bunnal, muna lumahil mari hi Ilyas magsaddiya sin unu-unu katn.
012	Sagawa ini in hibayta ku kaniyu.
012	In hi Ilyas bakas na limahil mari, sagawa wala siya kla sin manga mnusiya.
012	Gm mayan hnang sin manga tau in unu-unu kabayaan nila hinangun kaniya.
012	Damikkiyan, in aku, amu in Anak Mnusiya numanam da isab kabinsanaan ha lawm lima sin manga tau.
013	Sakali iyampa kiyahtihan sin manga mulid niya sin in tau piyagbichara niya amuna hi Yahiya Mangliligu.
014	Pagbalik hinda sa mawn pa manga tau mataud, awn hambuuk tau miyawn limuhud pa alupan niya.
015	Laung niya kan sa, Panghu, kaulungi in anak ku usug!
015	Pagbabuy-babuyun siya bang siya srun na saytan.
015	Binsana tuud siya bang siya srun na saytan sabab masuhul magpakahantak siya pa kyu atawa magkahulug siya pa tubig.
016	Diy ku siya pa manga mulid mu, sagawa di nila siya mapauli.
017	Simambung hi sa, laung niya, In manga tau sin masa ini wayruun tuud pangandul pa Tuhan iban bingkuk tuud in pamikil!
017	Maunu pa in lugay ku d kaniyu ampa niyu kahtihan in kusug sin kawasa sin Tuhan?
017	Maunu pa in lugay sandalan ku ampa kamu magparachaya?
017	Dha mari in bata kku!
018	Nar mayan in bata mawn kaniya, magty na iyuldinan hi sa in saytan paguwaun dayn ha lawm baran sin bata!
018	Na, saruun-duun gimuwa in saytan dayn ha lawm baran sin bata sarta kiyaulian na in bata.
019	Sakali iyasubu sin manga mulid niya hi sa, ha wayruun tau dugaing nakarungug.
019	Laung nila, Tuwan, mayta kami di makapaguwa sin saytan dayn ha lawm baran sin bata?
020	Sabab kulang pa tuud in pangandul niyu pa Tuhan, in sambag hi sa kanila.
020	Ini in tumtuma niyu!
020	Bang in pangandul niyu pa Tuhan mabiya sadja sin laggu sin bigi sibi-sibi, mahinang niyu in unu-unu katn mahunit tuud hinangun.
020	Amu in pagiyanun minsan in bd mg dayn ha biyutangan niya bang niyu uldinan pagun.
021	Laung pa isab hi sa, Sagawa in saytan biya ha yan di niyu mapag dayn ha lawm baran sin tau bang kamu di mangayu duwaa pa Tuhan iban magpuasa naa muna.
022	Sakali nakapagtipun mayan in katn mulid hi sa duun ha hula Jalil, namichara hi sa kanila, laung niya, In aku amu in Anak Mnusiya masuuk na hiungsud pa lawm lima sin manga tau.
023	Hipapatay nila aku sagawa pagabut hikat sin adlaw dayn ha kamatay kku mabuhi aku magbalik.
024	Na, nasusa tuud in manga mulid niya.
025	Pagdatung hi sa iban sin manga mulid niya pa Kapirnaum, nangasubu kan Pitrus in manga tau magkakawa sukay ha By sin Tuhan, laung nila, Magbayad ka sukay pa By sin Tuhan in guru mu?
026	Huun, in sambag hi Pitrus.
027	Pagsd hi Pitrus pa by, magty hi sa namung kaniya, laung niya, Simun, bang ha pikil mu hisiyu baha in kawaan sukay sin sultan namamarinta ha hula, in manga anak-kampung niya atawa in manga tau dugaing?
028	In manga tau dugaing, in sambung hi Pitrus.
029	Na, bang biya ha yan, in sambung hi sa, in hti niya bukun wajib ha manga anak-kampung in magbayad sukay.
030	Sagawa di kita mabaya kumang in atay sin manga tau yan.
030	Hangkan kadtu kaw pamingit pa dagat yaun.
030	Hillaa magty bang awn na ista tuminduk sin bingit mu.
030	Pagkawa mu sin ista ukaba in simud.
030	Makabk kaw sn ha lawm simud sin ista sarang hipamayad ta sukay pa By sin Tuhan.
030	Pagubus kadtu kaw pa By sin Tuhan ampa mu bayari in sukay ta duwa.
