verse	content
001	Hinbatian ni Jacob nga nagnginginurutob an mga anak nga kalalaken-an ni Laban nga nasiring, Ginkuha ni Jacob an ngatanan nga gintag-iya han amon amay.
001	Nagriko hiya tungod han ngatanan nga mga manggad han amon amay.
002	Hinsabtan liwat ni Jacob nga diri na makisasangkayon ha iya hi Laban sugad han una.
003	Niyan nagsiring ha iya an Ginoo , Balik ngadto ha tuna han imo mga ginikanan ngan ngadto han imo mga kauropdan.
003	Maupod ako ha imo.
004	Sanglit nagpatugon hi Jacob ngadto kanda Raquel ug Lea nga tapoon hiya nira didto han uma diin nakadto an iya mga panon.
005	Nagsiring hiya ha ira, Hinkit-an ko nga diri na gud makisasangkayon ha akon an iyo tatay sugad han una; kundi nagin kaupod ko la gihapon an Dyos han akon amay.
006	Maaram man kamo nga duha nga nagkabudlay ako ha bug-os ko nga kusog para han iyo amay.
007	Kundi ginlimbongan ako niya, ngan makanapulo na pagliwatliwata an akon suhol.
007	Kundi waray tumugot an Dyos nga pagdaoton ako niya.
008	Kada pagsisiring ni Laban, An burikbutik nga mga kanding amo an imo mga suhol, nag-aanak hin mga burikbutik an ngatanan nga mga panon.
008	Kon nasiring hiya, An mga kabang nga mga kanding amo an imo mga suhol, nag-aanak hin mga kabang an ngatanan nga mga panon.
009	Ginkuha han Dyos in mga panon tikang han iyo amay ngan iginhatag ini ha akon.
010	Ha panahon han pangasta han kahayopan, nag-inop ako ngan hinkit-an ko nga mga tagiptipon, mga kabang, ngan mga burikbutik an mga lalaki nga kanding nga nangangasta.
011	Naghimangraw ha akon dida han akon inop an anghel han Dyos ngan nagsiring, Jacob!
011	Binmaton ako, Aadi akon.
012	Tan-awa daw, nagpadayon hiya, mga tagiptipon, mga kabang, ngan mga burikbutik an lalaki nga mga kanding nga nangangasta.
012	Itinugot ko ini kay hinkit-an ko an ngatanan nga binubuhat ha imo ni Laban.
013	Amo ako an Dyos nga pinmakita ha imo didto ha Betel diin naghalad ka hin usa nga bato sugad nga usa nga hinumdoman pinaagi hin pag-ipisi mo hin lana hin olibo ha bawbaw hini, ngan didto nagsumpa ka liwat ha akon.
013	Yana pag-andam, ngan uli ngadto han tuna nga imo natawhan.
014	Binmaton kan Jacob hira Raquel ug Lea, Waray na gud namon masusunod han amon amay.
015	Gindudumara kami niya sugad na la hin mga lumalangyaw.
015	Iginbaligya kami niya ngan yana nagasto na niya an ngatanan nga kwarta nga iginbayad ha iya para ha amon.
016	Ini ngatanan nga mga manggad nga ginkuha han Dyos tikang han amon amay, amon ini ngan han amon mga anak.
016	Buhata an bisan ano nga iginsiring ha imo han Dyos.
017	Sanglit nag-andam hi Jacob hin pagbalik ngadto han iya amay didto ha tuna han Canaan.
017	Ginpasakay niya han mga kamelyo an iya mga anak ngan an iya mga asawa, ngan ginpauna niya ha iya an ngatanan niya nga mga panon upod an ngatanan nga iya naangkon didto ha Mesopotamia.
018	Linmakat hi Laban hin pag-arot han iya mga karnero, ngan han waray hiya didto ha balay, kinawat ni Raquel an kadiyosan han panimalay nga gintag-iya han iya amay.
019	Ginlipat ni Jacob hi Laban pinaagi hin diri niya pagpahibaroa ha iya nga tilakat hiya.
020	Gindara niya an ngatanan nga iya mga hiagi ngan binmaya hiya hin kadagmitan.
020	Tinmabok hiya han Salog Eufrates ngan nagtipakadto hiya han sagkahon nga tuna han Galaad.
021	Paglabay hin tulo ka adlaw ginsumatan hi Laban nga pinmalagiw hi Jacob.
