verse	content
001	Awan nagnalay ay linebut ni Jesus en banu-banuwan sakay ten babaryu.
001	Impangaral na sakay intoldu en Maganda a Bareta tungkul ten pghari nen Diyos.
001	Kaguman na en sapulu ay ti duwwa a disepulus na,
002	sakay en sangan a bbbi a pinagpiyya na ten mgkaduks a ispiritu sakay ten saket di hidi: ti Maria Magdalena a nangpalakadan ni Jesus ten pittu a dimonyo,
003	ti Juana a kabinga ni Cusa a katiwala ni Herodes;
003	ti Susana, sakay en agum pa hidi.
003	Ginastus di en sadili di a ari-ariyan ten kttulung di knni Jesus sakay ten disepulus na hidi.
004	Nagdemttan pa en tolay hidi a gubwat ten iba-iba a banuwan sakay ummadeni hidi knni Jesus.
004	Dikona naipun-ipun dn en tunay ti kakpal a tolay ay insaysay ni Jesus i talinhagaid a iddi
005	Tehud a essa a mgsabug a ummangay ten uma na tnni magsabug.
005	Ten pgsabug na ay tehud a naragrag a bine ten dilan, nagmmakan iyud nen katolayan sakay tinoktok nen ibun hidi.
006	Tehud bi a bine a naragrag ten kabatuwan sakay nagtubu, peru pagdaka a nalans gapu mamadi en kabatuwan.
007	Tehud bi a naragrag ten kalamonan a masaet.
007	Dikona lumagu en kalamonan ay binurebddan di en bine a nagtubu.
008	En agum ay naragrag ten maganda a luta.
008	Nagtubu hidi iyud sakay nagbunga ti tggidatos a butil.
008	Kinagi pa ni Jesus ti mabegsk, Mgsanig en tehud a pgsanig!
009	Nagtanung en disepulus na hidi ni nya en kahulugan nen talinhaga a kinagi na.
010	Tummbbig ti Jesus, Neatd dn dikomoy en karapatan a maintendiyan en lihim tungkul ten pghari nen Diyos.
010	Peru ten agum ay magupusk ten pamamag-itan nen talinhaga tnni,
011	Maski umileng hidi ay awan hidi ti ketan,
012	Sakay maski ni mgsanig hidi ay awan hidi ti maintendiyan.
013	Saiddi kahuluganid nen talinhaga: en bine ay en upos nen Diyos.
014	En bine hidi a naragrag ten gilid nen dilan ay en tolay hidi a ngsanig.
014	Peru dummemt en diyablo sakay inibutan na en Upos ten pusu nen mgsanig hidi tnni awan hidi sumampalataya sakay maligtas.
015	En ngkeragrag bi hidi ten kabatuwan ay en nakasanig hidi ten Upos sakay tinanggap di a masaya, peru awan iyud tummiim ten pusu di.
015	Awan la nalay a naniwala hidi, kddemt nen pagsubuk ay hinumiwalay hidi.
016	En ngkeragrag bi hidi ten kalamonan a masaet ay en ngsanig hidi ten upos nen Diyos, peru dikona umalay, ay nadaig hidi nen kabalisaan hidi ti biyag, kayamanan sakay ten sor di a mapagustuwan ten nyaman a magustuwan di.
016	Kaya awan malutu en bunga di hidi.
017	Sakay en nesabug bi ten matabi a luta ay en ngsanig hidi ten upos nen Diyos sakay pinahalagaan di ten pusu di a matapat sakay malinis, sakay magbunga hidi gapu ten tiyaga di.
018	Awan ti tolay a magtab ti simbuwan sakay taklbban na ti timba oni isarok na ten katri.
018	Nan itupu na iyud ten talaga a pgtupuwan tnni mademlagan en sumddp hidi ten bilay.
019	Awan ti netagu a awan melantad, sakay awan ti lihim a awan mehayag.
020	Kaya husayn moy en pgsanig moy, gapu en tehud ay tdenan pa, peru en awan ay ibutan pa maski en inakala na a ked dikona.
021	Dummemt en ina sakay kkkapatkaka hidi ni Jesus, peru awan hidi makaadeni dikona gapu ten kakpal nen tolay.
022	Kaya tehud a nngkagi dikona a, Ked ti luwason a mgtakng en ina mu sakay en kkkapatkaka mu hidi, gustu di ka a ketan.
023	Peru kinagi ni Jesus, En mgsanig hidi sakay mangsunud ten upos nen Diyos, ay hidi i ina kuwid sakay kkkapatkaka ku.
024	Nadid, ten essa a aldew ay summakay de Jesus ay ten disepulus na hidi ten abeng.
024	Kinagi na dikodi, Umarabes kitam dibelyu.
024	Kaya ummarabes ngani hidi.
025	Dikona pasiyaan dn hidi a maggaud ay netidug ti Jesus.
025	Nagabutan hidi ni mabegsk a bagyu, sakay sinddp dn ni limas en abeng di, kaya ngari-ngari dn hidi a omld.
026	Kaya inadeniyan siya nen disepulus hidi sakay linukag di.
026	Kinagi di, Panginoon, Panginoon, marombak kitamon!
026	Ummikat ti Jesus sakay pinaimang na en pars ay ten dddekl a tagmk.
026	Ummimang ngani en pars ay ten tagmk sakay gummanda en panahun.
027	Nadid ay tinanung hidi ni Jesus, Hdya dn en pnnampalataya moy?
027	Peru nentengan hidi sakay nagtaka.
027	Kagi di ten balang essa, Deya wd iyd?
027	Utusan na pati pars ay ti tagmk sakay sumunud dikona!
028	Dummung hidi ten lugar nen Gergeseno hidi, a ked ten dibelyu ni Galilea.
029	Kawas ni Jesus ten abeng, ay tinagbu siya nen essa a lllaki a taga haud a sinddp ni dimonyo.
029	Nanalay dn siya a awan ti badu sakay awan dn ummuli nan ten pglbbngngan en pppgyanan na.
030	Pkketa na knni Jesus ay pummkraw en lllaki, lummuhud ten atubengn ni Jesus sakay kinagi na ti mabegsk, Jesus Anak nen Kataasan a Diyos, nya i gustu muwid a gamitn dikoku?
030	Ipkpgguron ku dikomu a dyank mu pahirapan!
031	Kaya konahud en kinagi na ay gapu inutusan ni Jesus en maduks a ispiritu a lumuwas dikona.
031	Pirmi siya a sssaniban nen mgkaduks a ispiritu.
031	Kaya maski ni pakabantayan di siya sakay punguwn di ti kadena en bsset na ay ten lima na ay bgsutn na la iyud.
031	Iyangay siya nen maduks a ispiritu ten kaparangan.
032	Tinanung siya ni Jesus, nya i ngaran muwid?
032	Batalyon, kagi na gapu makpal en dimonyo a summanib dikona.
033	Nadid, nkkekagbi en dimonyo hidi knni Jesus a dyan na hidi utusan a sumegbu ten bbut a awan ti katapusan ti kadsalad.
034	Nadid, tehud a makpal a babuy a mamagsbbukan ten bumbbukid a adeni haud.
034	Nkkekagbi en dimonyo hidi knni Jesus a pasddppn na hidi ten kababuyan, sakay pinayagan bi hidi ni Jesus.
035	Lummuwas ten tolay en dimonyo hidi sakay sinomdp hidi ten kababuyan.
035	Pagdaka a namagginanan en kababuyan a padagson sakay tulos hidi a ngkatknig ten minalnu sakay ngkalims.
036	Pkketa nen mggalaga hidi ten kababuyan ten nangyari, ay gumminan hidi sakay imbbbareta di iyud ten banuwan sakay ten babaryu.
037	Kaya lummuwas en tolay hidi gapu gustu di a ilingn en nangyari.
037	Kddemt di knni Jesus ay netan di en tolay a dati a sinddp nen dimonyo hidi.
037	Nggetnud siya ten tttaknggan ni Jesus, nakabadu dn siya sakay mahusay dn en isip na.
037	Nentingan hidi a atanan.
038	Insaysay bi nen naketa hidi ten nangyari ten katolayan ni konya a nagpiyya en lllaki a dati a sinddp nen dimonyo hidi.
039	Kinagi nen atanan nen Gergeseno hidi knni Jesus a lumakad dn siya ten banuwan di gapu tunay en nteng di.
039	Kaya summakay dn ti Jesus ten abeng sakay lummakad.
040	Nadid, nkkekagbi knni Jesus en lllaki a linakadan nen dimonyo hidi a kinagi na, Mkkuyugk pay dikomu.
040	Peru kinagi ni Jesus dikona,
041	Kadmudn dibilay moy sakay ibareta mu en ginamet nen Diyos dikomu.
041	Lummakad ngani en lllaki sakay imbbbareta na ten buu a banuwan en ginamet ni Jesus dikona.
042	Dikona a nagsoli ti Jesus ten dibelyu, ay masaya siya a tinanggap nen katolayan gapu orayn di dn siya.
043	Dummemt tenhud en essa a lllaki a Jairo en ngaran na, essa siya a pinunu ten sinagoga.
043	Lummuhud siya ten atubengn ni Jesus, sakay nkkekagbi a umangay ti Jesus ten bilay na.
044	Gapu magipepatay dn en eessa a anak na a bbbi, sapulu dn ay ti duwwa a taon en idad na.
045	Mentras a maglakad ti Jesus a tamu ten bilay ni Jairo ay sssnsnnn siya nen makpal a tolay.
046	Ked bi haud en essa a bbbi a sapulu ay ti duwwa dn a taon a mgdadigiyn sakay awan mapagpiyya nen deyaman.
046	Naubus dn en atanan a kabiyagan na gapu ti pgpapagamot.
047	Ummadeni siya ten adggan ni Jesus sakay tinawidan na en garayan nen badu na.
047	Pagdaka a ummimang en pgdadigi na.
048	Tinanung hidi ni Jesus, Deya en nangtawid ten badu ku?
048	Ten dikona awan ti umamin ay kinagi ni Pedro, Panginoon, napalebutan ka ni tolayen hidi sakay sssnsnnn di ka!
049	Peru kinagi ni Jesus, Tehud a nangtawid ten badu ku!
049	Nabati ku a tehud a kapangyariyan a lummuwas dikoku.
050	Dikona matukuyan nen bbbi a awan bali melihim en ginamet na, ay magpgpg siya a ummadeni knni Jesus sakay lummuhud ten atubengn na.
050	Sakay kinagi na ten atanan a ked haud ni bakin tinawidan na en badu ni Jesus, sakay ni konya siya a nagpiyya a pagdaka.
051	Kinagi ni Jesus dikona, Anak ku pinagpiyya ka nen pnnampalataya mu.
051	Umuli ka a mapayapa.
052	Mentras a magupos ti Jesus ay tehud a dummemt a essa lllaki a gubwat ten bilay ni Jairo.
052	Patay dn en anak mu a bbbi dyan mu dn abalan i Maistuwen!
052	kagi na knni Jairo.
053	Dikona a nasanig iyud ni Jesus ay kinagi na knni Jairo, Dyan ka manteng, maniwala ka la ay magpiyya siya.
054	Kddemt ni Jesus ten bilay, ay awan siya ti iba a ingkuyug ten sddp nan de Pedro, Juan, Santiago sakay en dddikl hidi nen dalagita.
055	Mamagsangetan en atanan a ked haud sakay maglungkut ten patay.
055	Peru kinagi ni Jesus, Dyan kam magsanget.
055	Awan patay i anaken, nan tidug la.
056	Nagtawaan di ti Jesus gapu tukoy di a patay dn en dalagita.
057	Peru tinawidan ni Jesus en lima na sakay kinagi na, Anak ku, umikat ka.
058	Summoli en angs nen dalagita sakay pagdaka a ummikat.
058	Kttapos ay pinaatd siya ni Jesus ti makan.
059	Narknid en dddikl na hidi, peru imbilin ni Jesus dikodi a dyan di kagiyn maski kndeya en nangyari.
