verse	content
001	Nadid, ten paglakad ni Jesus, ay netan na en essa a lllaki a neenak a burk.
002	Kinagi nen disepulus na hidi, Maistu, deya i tehudid a kasalanan ta mineenak a burk i lllakiyid a iyn, siya oni en dddikl na?
003	Kinagi ni Jesus dikodi, Awan ti kasalanan i lllakiyid a iyn oni en dddikl na hidi.
003	Nan nangyari iyn tnni mepeta en kapangyariyan nen Diyos.
004	Kailangan a tupadn tam en ipagamet hidi nen nangutus dikoku mentras tehud palla a aldew.
004	Ni dumemt dn en gibi ay awan dn ti makapanggamet.
005	Mentras kedk palla ti munduwiday, ay sikn en demlag ni munduwiday.
006	Pkkakagi ni Jesus ti iyud, ay lummoktab siya ten luta sakay ginamet na a lusak, sakay impahid na iyud ten mata nen burk.
007	Sakay kinagi na ten burk, Kammudn magudemos ten dinom a Siloe.
007	En gustu na a kagiyn ay inutusan.
007	Kona ngani haud en ginamet nen burk sakay ten kssoli na ay naketa dn siya.
008	Kinagi nen kadatigan na hidi sakay nen naketa hidi dikona, dikona a mgpalimus palla siya, Awan beman iyn en lllaki a dati a mgpalimus?
009	Iyn dn ngani kagi nen agum, Awan!
009	Karupa na la, kagi dmman nen agum.
009	Kaya nagupos en lllaki, Sikn dn iyd.
010	Kinagi di dikona, Konya ka a naketa?
011	Tummbbig en lllaki, En lllaki ben a dddulawn di a Jesus ay naggamet ti lusak a nahaluwan ten loktab na sakay impahid na ti mata kuwidi.
011	Sakay kinagi na dikoku a, Umangay ka ti Siloe a magudemos.
011	Kaya ummangayk bi haud sakay nagudemos, hudk dn a naketa,
012	Hdya dn siya?
012	kagi di dikona, Awan ku tukoy.
012	Tbbig na dikodi.
013	Inyangay di ten Pariseo hidi en dati a burk.
014	Aldew iyud nen Kimang dikona gamitn ni Jesus en lusak sakay nanggamot na ten burk.
015	Tinanung a ruway nen Pariseo hidi ni konya siya a naketa.
015	Kinagi na dikodi, Pinahidan na ti lusak i mata kuwidi, sakay pinagudemusk na, sakay hudk dn a naketa.
016	Kinagi nen agum a Pariseo, Bakn a gubwat ten Diyos i tolayid a iyn, gapu awan na impangilin en Aldew nen Kimang.
016	Peru kinagi bi nen agum, Konya a makagamet ti kona han a himala i essaid a makasalanan?
016	Sakay awan hidi namagkaessa.
017	Kinagi di dmman ten lllaki a burk, Siko, nya palagay muwid dikona, gapu pinaketa na i mata muwen, nya makagi muwid?
018	Essa siya a propeta.
018	Tbbig nen lllaki.
019	Awan maniwala en Judio hidi ni tatarudan a burk siya, kaya pinauwet di en dddikl na hidi.
020	Sakay kinagi di ten dddikl na hidi, Tarud beman a anak moy siya?
020	Tarud beman a neenak siya a burk?
020	Bakin naketa dn siya?
021	Kinagi nen dddikl na hidi, Tukoy mi a anak mi siya, sakay neenak siya a burk.
022	Peru awan mi tukoy ni konya naketa naid, sakay awan mi bi tukoy ni deya nangpapiyyaid dikona.
022	Siya dlla tanungn moyid, te idad dn bi siya sakay mekagi na dn en tungkul ten sadili na.
023	Kona la had en kinagi nen dddikl na hidi gapu ten nteng di ten Judio hidi.
023	Gapu napagkasunduwan nen Judio hidi a itiwalag di ten sinagoga en balang mngpahayag a ti Jesus en Cristo.
024	Iyd en dahilan ni bakin kinagi nen dddikl na hidi a, Siya ay tehud dn a sapat idad;
024	siya dlla i tanungn moyid.
025	Kaya pinadulaw dmman nen Judio hidi en burk sakay kinagi di dikona, Ten ngaran nen Diyos ay magkagi ka ti tatarudan tukoy mi a makasalanan i tolayid a iyud.
026	Tumbbig siya, Para dikoku makasalanan man siya oni awan.
