verse	content
001	Kinuna ni Yahweh ken ni Moises, Sumang-atka ditoy bantay.
001	Itugotmo da Aaron, Nadab, Abiu ken ti pitopulo kadagiti panglakayen ti Israel.
001	Inton adayokayo pay laeng iti ayanko, agkurnokayo iti panagdaydayaw.
002	Sikanto laeng ti umasideg.
002	Dinto umasideg dagiti kakadduam.
002	Ket saan met a mapalubosan dagiti tattao a sumang-at iti bantay.
003	Napan imbaga ni Moises kadagiti tattao ti amin a bilin ken alagaden nga inted ni Yahweh.
003	Sangsangkamaysada amin a simmungbat, Aramidenmi ti amin nga imbaga ti Apo .
004	Insurat ni Moises dagiti amin a bilin ni Yahweh.
005	Iti agsapa iti sumuno nga aldaw, nangbangon iti altar iti arisadsad ti bantay ken nangipatakder iti 12 a baton-lagip a mangibagi kadagiti 12 a tribu ti Israel.
006	Kalpasanna, binilinna ti sumagmamano nga agtutubo a lallaki a mangpuor kadagiti animal a kas sagut ken ni Yahweh ken mangidatag iti sumagmamano a toro a baka a kas daton a pakikappia.
007	Inkabil ni Moises kadagiti palanggana ti kagudua ti dara dagiti napapatay nga animal ket insuyatna iti altar ti nabati.
008	Innalana ti libro ti tulag a nakailanadan dagiti bilin ni Yahweh sana binasa iti napigsa.
008	Kinuna dagiti tattao, Agtulnogkami iti Apo ket tungpalenmi amin nga imbilinna.
009	Innala ni Moises ti dara nga adda kadagiti palanggana ket winarisanna dagiti tattao.
009	Kinunana, Daytoy ti dara a mangpatalged iti pannakitulag ti Apo kadakayo idi intedna amin dagitoy a bilin.
010	Simmang-at da Moises, Aaron, Nadab, Abiu ken ti 70 kadagiti panglakayen ti Israel iti bantay.
011	Nakitada ti Dios ti Israel.
011	Adda iti babaen ti sakana ti umasping iti pagnaan a nabaldosaan iti safiro ken asul a kas iti tangatang.
012	Saan nga inan-ano ti Dios dagitoy a panglakayen iti Israel.
012	Nakitada ti Dios.
012	Kalpasanna, nagpapangan ken nagiinumda.
013	Kinuna ni Yahweh ken ni Moises, Sumang-atka iti bantay ket umayka iti ayanko.
013	Agyanka ditoy ket itedkonto kenka dagiti dua a tapi a bato a nakailanadan dagiti linteg ken bilin nga insuratko nga annuroten dagiti tattao.
014	Nagsagana ni Moises ken ni Josue a katulonganna ket simmang-at ni Moises iti nasantoan a bantay.
015	Kinuna ni Moises kadagiti panglakayen, Urayendakami ditoy agingga nga agsublikami.
015	Mabati da Aaron ken Hur.
015	Isuda ti papanan ti siasinoman nga adda parikutna.
016	Simmang-at ni Moises ket adda ulep a nangkumot iti Bantay Sinai.
017	Bimmaba iti rabaw ti bantay ti makapurar a lawag a mangipakdaar iti kaadda ni Yahweh.
017	Iti panagkita dagiti Israelita, ti lawag ket kasla apuy a gumilgil-ayab iti tapaw ti bantay.
017	Innem nga aldaw a kinumotan ti ulep ti bantay.
017	Iti maikapito nga aldaw, manipud iti ulep, inawagan ni Yahweh ni Moises.
018	Simrek ni Moises iti ulep iti isasang-atna iti bantay.
018	Nagyan idiay iti las-ud ti 40 nga aldaw ken rabii.
