verse	content
001	Nagpadayon pa si Jesus, Matuod gayod na makawat kag tulisan an dili nagaagi sa pwertahan san turil san mga karnero kundi sa iba na paagi.
002	Pero an nagaagi sa pwertahan amo an pastor san mga karnero.
003	Ginapasulod siya san bantay sa pwertahan kag nagakilala san iya boses an mga karnero.
003	Ginatawag niya ini na sadiri niya na karnero paagi sa ngaran kag ginagiyahan paluwas.
004	Pakapaluwas na niya san tanan, nagauna siya sani kag nagasurunod an mga karnero sa iya kay kilala sani an iya boses.
005	Pero sa dayuhan wara sinda magasunod kundi mas nagadurulag pahilayo sa iya kay dili sani kilala an iya boses.
006	Gin-istorya ni Jesus ini sa inda pero wara ninda masabutan kun nano an iya gusto sabihon.
007	Kaya nagsurmaton gihapon si Jesus sa inda, Matuod gayod na ako an pwertahan para sa mga karnero.
008	Mga makawat kag tulisan an tanan na parabantay na nauna sa akon pagkadi pero an mga karnero wara mag-intyindi sa inda.
009	Ako an pwertahan.
009	Masasalbar an mga mag-agi sa akon, tapos sinda bagan karnero na makaguwa-sulod kag makakitan mahuraban.
010	An makawat naman, an katuyuan niya mangawat, magpatay kag magsira.
010	Pero ako an nagpakadi agod magkaigwa sindan buhay kag magpabugana pa lugod sin buhay.
011	Ako man an maayo na pastor.
011	An pastor na maayo amo an nagahalad san iya buhay para sa mga karnero.
012	An sinuhulan naman, na dili amo an matuod na pastor na tagsadiri san mga karnero, ginapabayaan an mga karnero kag nadalagan sa oras na makita niya na nagaarapiki na an maisog na hayop.
012	Kaya ginatabag kag ginaburulag man sani an mga karnero.
013	Nadulag siya kay sinuhulan lang kag waran pagmalasakit sa mga karnero.
014	Pero ako naman an pastor na maayo.
014	Pareho san pakakilala sa akon san Ama kag an pakakilala ko man sa iya, kilala ko an akon mga karnero kag kilala man ako sani.
014	Kaya ginahalad ko an akon buhay para sani.
015	Niyan, igwa pa man akon iba na mga karnero na dili pa parte sani na manada.
015	Sinda man dapat ko na tipunon kag babation ninda an akon boses.
015	Tapos usad na lang an manada kag usad an pastor.
016	Namumut-an ako san Ama kay ginahalad ko an akon buhay agod mabuhay gihapon ako.
017	Waran makahali san buhay ko.
017	Ginahalad ko ina sa sadiri ko na kabubut-on.
017	Igwa akon gahom na ihalad ko ina kag kagamhanan na bawion gihapon kay ini an ginsugo sa akon san akon Ama.
018	Tungod sani na mga surmaton wara man gihapon magkaparareho an isip san mga Judio.
019	Kadamuan sa inda nagsarabi, Nasudlan siyan demonyo kaya nagabuang.
019	Nano kay nagaparapamarati pa kamo sa iya?
020	An iba naman nagasabi, Dili amo ini an panurmaton san tawo na nasudlan san demonyo.
020	Nano, may demonyo kaya na makapakita sin buta?
021	Nag-abot an panahon san ginaselebrar san mga Judio an pyista san pagdidikar sa templo kasadto sa Jerusalem.
021	Tighagkutan sadto
022	kag si Jesus nasa templo nagaagi sa lugar na ginatawag na portico ni Solomon.
023	Gintiripunan siya san mga Judio kag nagsabi, Nano kay ginaparapahulat mo pa kami?
023	Kun ikaw man gayod an Cristo, sabihi na ngani kami.
024	Nagsabat si Jesus, Ginsabihan ta na kamo pero dili man kamo nagatuod sa akon.
024	An mga milagro na ginahimo ko sa ngaran san akon Ama amo an nagapamatuod manungod sa akon
025	pero dili kamo nagatuod kay dili ta kamo mga karnero.
026	An akon mga karnero nagapamati san akon boses, kilala ko sinda kag nagasunod sinda sa akon.
027	Ginahatagan ko sinda sin buhay na waran katapusan.
027	Dili sinda mawawar-an sani kag wara man sin makaagaw sa inda sa akon.
028	An akon Ama na nagpaniwala sa inda sa akon amo an pinakalabaw sa tanan kag waran makaagaw sa inda sa iya.
029	Ako kag san Ama usad lang.
030	Tapos an mga Judio nagpururot naman gihapon sin mga bato agod batuhon siya.
031	Kaya sinabihan sinda ni Jesus, Damon mga maayo na hinimuan an ginpakita ko sa iyo na ginsugo san Ama na himuon ko.
031	Hain sani na mga milagro na pagabatuhon niyo ako?
032	Ginsabat siya san mga Judio, Dili ka namon batuhon dahilan san mga maayo mo na hinimuan kundi an imo pagpakaraot sa Dios sa pag-angkon na ikaw Dios pero tawo ka lang.
033	Ginsabat sinda ni Jesus, Nano, dili nasurat sa iyo mismo Kasuratan na an Dios nagsabi sa mga namumuno kasadto na mga dios sinda?
034	Niyan, kun mga dios man gayod an pagtawag san Dios sadton mga gintiwalaan san surmaton niya kag an Kasuratan matuod hasta na lang,
035	nano, pagtuya-tuya ina sa iyo kun ako, na ginpili san Ama kag ginsugo sa kinab-an, nagsabi na, Ako an anak niya?
036	Ayaw kamo pagtuod sa akon kun dili ko ginahimo an mga ginapahimo san akon Ama.
037	Pero kun ginahimo ko magtuod kamo sani na mga pagpamatuod bisan pa ngani dili kamo nagatuod sa akon.
037	Tapos, maaraman niyo kag masiguro na an Ama nakig-usad sa akon kag ako sa iya.
038	Ginporbaran gihapon ninda na dakupon si Jesus pero nakadulag sa inda.
039	Nagbalik siya gihapon pagtabok sa Jordan sa lugar na kun diin sadto nagapambunyag anay si Juan.
039	Didto nag-istar si Jesus
040	kag damo an nagkaradto didto sa iya tapos nagsabi, Wara maghimon milagro si Juan pero matuod an tanan na ginsabi niya manungod sani na tawo.
041	Kaya, damo sadton mga tawo an nagtuod kan Jesus.
