verse	content
001	Ummangay a ruway ti Jesus ten sinagoga, nedemttan na haud en lllaki a awan makaarikad en essa na a lima.
002	Binantayan nen tolay hidi ni gamutn ni Jesus en lllaki ten Aldew nen Kimang tnni magkahud hidi ti ibidensiya a awan siya mangilin.
003	Kinagi ni Jesus ten lllaki, Karon hd!
004	Sakay tinanung na en tolay hidi, nya beman i bawalid ten Kautusan, maggamet ti maganda oni maggamet ti maduks?
004	En mngligtas ti tolay oni pabayan mu a matay?
005	Peru awan hidi ti kkkagi.
006	Ummileng ti Jesus ten tolay hidi ten palebut na.
006	Iyamut sakay kagbi en mabati na gapu ten kttug nen ulu di.
006	Kttapos ay kinagi na ten lllaki, Iyolnat mu i lima muwen.
006	Dikona iyolnat nen lllaki en lima na ay pagdaka a nagpiyya.
007	Lummakad en Pariseo hidi sakay kinauron di a pagdaka en tolay hidi ni Hari a Herodes ni konya di a mapabunu ti Jesus.
008	Lummakad ti Jesus a kaguman na en disepulus na hidi, ummangay hidi ten gilid nen minalnu.
008	Ummunud dikona en tunay a kakpal a tolay a gubwat ti Galilea, ti Judea,
009	ti Jerusalem, ti Idumea, ten dibelyu ni Jordan, ten siyudad a Tiro, sakay Sidon.
009	Ummunud hidi gapu nabareta di en ginggamet ni Jesus.
010	Makpal siya a pinagpiyya a tehud a saket, sakay pummilit pa en agum a tehud a saket a kumabit dikona.
010	Kaya nngpehanda ti Jesus ti abeng ten disepulus na hidi sakay summakay siya tnni awan di siya masldit.
011	Balang essa ten sinddp hidi nen maduks a ispiritu a naketa knni Jesus ay lummuhud ten atubengn na sakay ipkraw di a, Siko en Anak nen Diyos!
012	Mahigpit a inyutus ni Jesus ten mgkaduks hidi a ispiritu a dyan di kkkagiyn ni deya siya.
013	Kttapos ay ummangay ti Jesus ten bukid, kaguman na en pinili na hidi sakay ummunud dikona.
014	Nangpili siya dikodi ti sapulu ay ti duwwa a nginaranan na a apostol.
014	Pinili na hidi tnni magin kkkagumann na sakay utusan na hidi a angay mangaral.
015	Intdenan na hidi ti kapangyariyan a magpalakad ten dimonyo hidi.
016	En pinili na a sapulu ay ti duwwa a apostol ay ti Simon a nginaranan na a Pedro,
017	de Santiago ay ti Juan a anak ni Zebedeo, nginaranan na hidi a Boarnerges, gustu naid a kagiyn ay, Anak hidi ni kddur;
018	sakay ti Andres, Felipe, Bartolome, Mateo, Tomas, Santiago a anak ni Alfeo, Tadeo, Simon a makabanuwan,
019	sakay ti Judas Iscariote a nngtokyon dikona.
020	Dikona a ummuli ti Jesus ay tunay dmman a kakpal en tolay a ummangay haud kaya awan na dn mapospos a kuman, kona bi ten disepulus na hidi.
021	Dikona nabareta iyud nen ina na sakay nen kkkapatkaka na hidi ay ummangay hidi haud.
021	Angen di ti Jesus gapu kagi nen tolay hidi a nagareng kanon siya.
022	Kinagi nen sangan a tagapagtoldu nen Kautusan a gubwat ti Jerusalem a kaya kan a makapagpalakad ti Jesus ti dimonyo ay intdenan siya ni Beelzebul ti kapangyariyan.
022	Ti Beelzebul en pinunu nen dimonyo hidi.
023	Gapu ten kinagi di ay dinulaw hidi ni Jesus sakay nagupos siya ti patalinhaga, Konya a palakadn ni Satanas en sadili na?
024	Ni mamgdadema en mamanuwan ten essa a kahariyan ay awan magmalay a mawasak i kahariyanid a iyud.
025	Maski ten essa a pamilya, ni mamgdadema hidi ay awan bi hidi magmalay.
026	Kona labi hud ni kalabann ni Satanas en sadili na sakay mamgdadema en nasakupan na hidi ay awan hidi magmalay, dumemt en katapusan na.
027	Peru awan ti makapangsddp sakay magtakaw ten bilay nen mabegsk a tolay mentras a awan pa siya mapungu.
027	Ni napungu dn siya ay maari dn a pagtakawan en bilay na.
028	Tandaan moy, mapatawad nen Diyos en tolay ten atanan a kasalanan na, pati en kinkkagi na a maduks ten Diyos.
029	Peru en magupos ti maduks ten Banal a Ispiritu ay awan dn mapatawad maski nikan.
029	Gapu nanggamet siya ti awan ti katapusan a kasalanan.
030	Kinagi iyud ni Jesus dikodi gapu bbbintangn di siya a sinddp ni maduks a ispiritu.
031	Dummemt en ina ni Jesus sakay en kkkapatkaka na hidi.
031	Naguray hidi ten luwas nen bilay sakay pinadulaw di siya.
032	Makpal en tolay a mggetnud ten palebut ni Jesus dikona kinagi di, Ked ti luwason en ina mu sakay en kkkapatkaka mu hidi urayn di ka.
033	Peru kinagi ni Jesus, Deya beman i ina kuwid sakay i kkkapatkaka kuwid?
034	Inileng na en mggetnud hidi ten palebut na sakay kinagi na, Hidi iddi i ina kuwid sakay kkkapatkaka kuwid!
035	Gapu ni deya en sumssunud ten utus nen Diyos ay siya i kapatkaka kuwid sakay ina kuwid.
