verse	content
001	Asal ha tagnaan, yaun na in Parman, iban in Parman asal naghahambuuk iban Tuhan, karna in Parman amu na in Tuhan.
002	Iban asal dayn ha panagnaan pa, naghahambuuk na in Parman iban Tuhan.
003	In unu-unu katn naawn, piyaawn sin Parman dayn ha kabayaan sin Tuhan.
003	Wayruun hangsulag unu-unu in naawn bang bukun guwa dayn ha Parman.
004	Damikkiyan in Parman amuna in puunan sin kabuhi sabunnal, iban in puunan sin kabuhi sabunnal amuna in ilaw dumihil sawa pa pikilan sin mnusiya.
005	In ilaw ini suminag na ha lawm sin katigidluman ha lawm dunya, iban in katigidluman di makapng sin ilaw ini.
006	Manjari awn hambuuk tau kiyawakilan sin Tuhan.
006	In ngn niya hi Yahiya.
007	Diyaak siya sin Tuhan mamayta pa manga tau pasal sin ilaw ini, ha supaya in mnusiya katn makarungug iban magparachaya sin bayta pasal sin ilaw.
008	Bukun hi Yahiya in piyagbahasa ilaw.
008	Karna in siya naraak sadja mamayta pasal sin ilaw.
009	Na, in Parman amuna tuud in bunnal ilaw, amu in limahil mari pa dunya dumihil kasawahan pa pikilan sin mnusiya katn.
010	Sagawa sin d siya ha dunya wala siya kla sin manga mnusiya, minsan da siya in nagpapanjari sin unu-unu katn dayn ha kabayaan sin Tuhan.
011	Miyari siya pa hula nap niya hulaan, sagawa minsan in manga pagkahi niya hangka-bangsa, wala da timayma kaniya.
012	Sagawa hisiyu-siyu in timayma ha amu in piyagbahasa Parman iban nagparachaya isab kaniya, dhilan niya sila kapatutan mahinang manga anak sin Tuhan.
013	Ampa in kahinang kanila anak sin Tuhan bukun biya kaagi sin paganak sin tau d ha dunya, amu in guwa dayn ha kabayaan atawa ganta sin mnusiya.
013	Sagawa mahinang sila manga anak sin Tuhan dayn ha kabayaan sin Tuhan.
014	Manjari in piyagbahasa Parman nagbaran mnusiya, limahil mari pa dunya iban himangka-hula ktuniyu.
014	Jukup in kasi-lasa niya iban siya in magpakita sin katn kasabunnalan.
014	Kta namu in sahaya iban kawasa niya amu in sahaya iban kawasa matp tuud ha hambuuk-buuk Anak Tuhan.
015	Hi Yahiya in namayta pasal sin amu in piyagbahasa Parman.
015	Namichara siya matanug, laung niya, Siya na ini in bakas piyagiyan ku kaniyu.
015	Laung ku, Siya in sumunud kku, sagawa labi in kawasa niya dayn kku, sabab in siya asal awn na ha wala pa aku natau.
015	Amu yan in bayta hi Yahiya.
016	Pagga jukup in kasi-lasa niya, in kitaniyu katn awn kahampitan.
016	Magdurugang in tulung-tabang niya ktuniyu amu in ihilas tuud sin atay niya.
017	Hi Musa in nagpasampay pa manga mnusiya sin sara piyanaug sin Tuhan, sagawa hi sa Almasi , amu in piyagbahasa Parman in nagpasampay pa manga mnusiya sin kasi-lasa iban sin kasabunnalan sin Tuhan.
018	Wayruun mnusiya in nakakita ha Tuhan, luwal da amu in hambuuk-buuk Anak niya, karna in siya asal amuna tuud in Tuhan.
018	Siya in nagpaingat ha manga mnusiya pasal sin Tuhan Ama niya, sabab in sila asal hambuuk da.
019	Manjari biya ha ini in bayta hi Yahiya pasal sin Almasi.
019	Awn hambuuk waktu diyaak sin manga Yahudi, amu in nagkakaput sara agama ha Awrusalam Baytal Makdis, in manga imam iban sin manga tau mananabang ha manga imam, madtu kan Yahiya mangasubu bang hisiyu tuud siya.
020	Wala naglibun hi Yahiya kanila.
020	Biyaytaan niya sila sin kasabunnalan, laung niya, Bukun aku in Almasi.
021	Laung nila, Bang kaw bukun in Almasi, hisiyu kaw tuud?
021	Ikaw baha hi Ilyas?
022	Bukun, in sambung hi Yahiya.
023	Ikaw ka in nabi amu in tiyatagaran sin bangsa natu Israil?
024	Bukun, in sambung hi Yahiya.
025	Laung sin manga imam, Na, baytai kami bang hisiyu kaw, sabab subay tuud awn hikabayta namu pa manga tau nagdaak kmu miyari.
025	Baytai kami sin pasal mu bang hisiyu kaw tuud.
026	Siyambungan sila hi Yahiya sin manga lapal-kabtangan amu in sibu tuud iban sin bayta kiyasulat hi Nabi Isayas ha lawm Kitab.
026	Laung niya,
027	Aku in tau manawag-tawag ha hula paslangan mahunit paghulaan.
028	Laung ku ha manga tau, Pabuntula niyu in dn labayan sin Panghu !
029	Na, in manga imam naraak sin manga Parisi, amu in hambuuk tumpuk sin magkakaput sin sara agama Yahudi, nangasubu na isab kan Yahiya.
