verse	content
001	Tehud a sangan ten Pariseo hidi ay ten Saduseo hidi a ummangay knni Jesus.
001	Gustu di siya a purbaan kaya nggid hidi dikona ti tanda a gubwat dilanget.
002	Peru kinagi ni Jesus dikodi, Ti pggapon ay kagiyn moy a, Maganda i panahunid ni ilaw gapu maganda i langiten.
003	Sakay ti dimadimang a tarud ay kagiyn moy a, Maguden nadid, gapu madiklm i langiten.
003	Tukoy moy a magileng ten tanda hidi ti langiten, peru awan moy tukoy en tanda hidi ti nadid a kasalukuyan a panahun.
004	Sikam a maduks a lahi sakay awan matapat ten Diyos!
004	Magaryok kam ti tanda, peru awan ipeta dikomoy maliban ten tanda a nangyari knni Jonas!
005	Kttapos ni iyud ay lummakad ti Jesus.
006	Nadid, ten dikona a makaarabes dn hidi ten dibelyu nen minalnu ay nakalimon en disepulus hidi a magtawid ti tinapay.
007	Kinagi ni Jesus dikodi, Magingat kam ten pgpaalsa nen Pariseo hidi sakay nen Saduseo hidi.
008	Kaya namgguron en disepulus hidi.
008	Kagi di a, Gapu a awan kitam nagtawid ti tinapay kaya na a kinagi iyud.
009	Tukoy ni Jesus en pamggurunan di, Bakin a pamggurunan moy a awan kam ti balon a tinapay?
009	Tunay ti kabadit i pnnampalataya moyen!
010	Hanggan beman nadid ay awan kam palla makaintendi?
010	Awan moy beman maalala en limma a mommon a tinapay a hinati-hati para ten limmang libu a tolay?
010	Sangan a lkba a tinapay en subra?
011	Kona bi ten pittu a mommon a tinapay a para ten ppat a libu a tolay!
011	Sangan a lkba a tinapay en subra?
012	Bakin a awan moy maintendiyan a bakn a tungkul ti tinapay en kinagi ku dikomoy a magingat kam ten pgpaalsa a gamit nen Pariseo hidi sakay nen Saduseo hidi!
013	Sakay naintendiyan di dn a pagingatn hidi ni Jesus ten toldu nen Pariseo hidi sakay nen Saduseo hidi, bakn a ten pgpaalsa a gggamitn ti tinapay.
014	Nadid, ten dikona a makademt ti Jesus ten banuwan a Cesarea a sakup ni Filipos, ay tinanung na en disepulus na hidi, Deya kan en Anak nen Tolay, ayun ten tolay hidi?
015	Tummbbig hidi, En kagi nen agum hidi ay ti Juan a Mgbinyag ka kan.
015	Kagi biyid nen agum hidi ay ti Elias ka kan.
015	Sakay tehud pa a magkagi a ti Jeremias ka kan, oni essa ten propeta hidi.
016	Sakay tinanung na hidi, Ay sikam nya bi i makagi moyid?
016	Deyak?
017	Tummbbig ti Simon Pedro, Siko ay ti Cristo, en Anak nen Diyos a biyag.
018	Kinagi ni Jesus dikona, Pinagpala ka Simon, a anak ni Jonas!
018	Gapu iyd a katutuhanan ay awan impahayag dikomu ni deyaman nan nen Ama ku dilanget.
019	Sakay kagiyn ku dikomu, a siko ay Pedro, sakay ti dibabew ni batuwid a iyd ay ipatakng ku en simbaan ku, sakay awan ti makapangtalu dikona maski ni en kapangyariyan nen kamatayan.
020	Iyatd ku dikomu en susi hidi nen kahariyan dilanget.
020	En ibawal mu ti lutaiday ay ibawal bi dilanget, sakay nyaman a payagan mu ti lutaiday ay payagan bi dilanget.
021	Sakay mahigpit a binilin na en disepulus na hidi a dyan di kagikagiyn a siya en Cristo.
022	Sapul haud ay kinagi dn ni Jesus ten disepulus na hidi en mangyari dikona.
022	Kinagi na, Kailangan a angayk ti Jerusalem sakay magdanask ti makpal a hirap ten lima nen pinunu hidi nen banuwan, ten pinunu nen padi hidi sakay ten tagapagtoldu hidi nen Kautusan.
022	Bunuwnnk di, peru ten katllu a aldew ay mabiyagk a ruway.
023	Peru inakit ni Pedro ti Jesus ti sekretu la sakay kinagiyan na siya ti kona hddi, Panginoon, awan nakuwan iyd payagan nen Diyos a mangyari!
023	Awan iyd dapat a mangyari dikomu.
024	Peru inatubeng siya ni Jesus sakay kinagi na, Satanas, umadeyu ka dikoku!
024	Dyan mu pugddn en kaluuban nen Diyos.
024	I ked ti isip muwen ay bakn a kaluuban nen Diyos nan kaluuban nen tolay.
025	Sakay kinagi ni Jesus ten disepulus na hidi, Ni deyaman en masor a sumunud dikoku ay dapat a limunn na en tungkul ten sadili na sakay bklayn na en kudus na sakay mkkuyug dikoku.
026	Ni deyaman en masor a mngligtas ten biyag na ay siya en mawanan;
026	peru en mawanan ti biyag alang-alang dikoku ay siya en magkahud ti biyag.
027	nya i pakinabangid nen essa a tolay ni makao na i munduwiday ni en kapalit ni iyud ay en biyag na?
027	nya i mebayadid nen essa a tolay para mesoli dikona en biyag na?
028	Gapu dumemt en Anak nen Tolay ten pamamag-itan nen dakila a kapangyariyan nen Ama na sakay kaguman na en anghel na hidi.
028	Ti panahunid a iyud ay piremyuwan na en balang essa a tolay ayun ten ginamet na.
029	Tandaan moy: tehud dikomoy a ked hddi a awan matay hanggan a awan na ketan en Anak nen Tolay a dumemt a bilang essa a Hari.
